SYMBOL,hv20,hv50,hv100,LAST_CLOSE_DT,CLOSE_PX,curiv,Days,Percentile
@CLH,27,36,35,2020-31-01,51.56,41.74,592,96
@CLJ,27,35,33,2020-31-01,51.68,36.18,592,93
@CLK,26,33,31,2020-31-01,51.77,34.49,592,92
@CLM,26,30,29,2020-31-01,51.8,33.4,588,89
@CLN,25,28,27,2020-31-01,51.74,32.05,588,85
@CLQ,24,27,26,2020-31-01,51.59,31.86,588,83
@CLU,23,25,25,2020-31-01,51.39,30.22,588,77
@CLV,23,24,44,2020-31-01,51.17,29.73,588,75
@CLX,22,18,29,2020-31-01,50.98,28.56,588,68
@CLZ,22,18,30,2020-31-01,50.8,27.89,588,61
@CN,20,16,16,2020-31-01,391,18.17,588,47
@CTH,22,18,18,2020-31-01,67.5,13.43,592,2
@CTK,20,17,16,2020-31-01,68.31,23.46,592,93
@CTN,19,16,15,2020-31-01,69.19,21.34,588,68
@CTV,22,16,22,2020-31-01,68.92,17.23,589,25
@CTZ,15,26,23,2020-31-01,68.73,16.31,588,3
@CU,16,13,24,2020-31-01,387.8,20.05,588,41
@CUG,-1,-1,-1,2020-10-01,230.8,24,138,100
@CZ,14,26,24,2020-31-01,390.8,19.26,590,33
@DKF,-1,-1,-1,2019-13-12,17,30.63,587,97
@DKG,-1,-1,-1,2020-10-01,17.04,30.52,590,98
@DKH,-1,-1,-1,2020-31-01,16.9,21.33,592,91
@DKJ,-1,-1,-1,2020-31-01,17.08,16.65,592,56
@DKK,-1,-1,-1,2020-31-01,17.38,15.98,590,43
@DKM,-1,-1,-1,2020-31-01,17.6,14.77,588,30
@DKN,-1,-1,-1,2020-31-01,17.89,14.37,588,29
@DKQ,-1,-1,-1,2020-31-01,18,13.75,584,23
@DKU,-1,-1,-1,2020-31-01,18.09,13.27,587,22
@DKV,-1,-1,-1,2020-31-01,18.22,13.74,588,43
@DKX,-1,-1,-1,2020-31-01,18.22,13.58,588,36
@DKZ,-1,-1,-1,2020-31-01,18.12,13.27,588,28
@DXF,-1,-1,-1,2019-27-12,96.53,3.52,550,0
@DXG,-1,-1,-1,2020-30-01,97.21,4.53,554,2
@DXH,3.2,3.7,3.9,2020-31-01,97.21,3.49,592,0
@DXJ,-1,-1,-1,2020-31-01,96.84,7.8,494,46
@DXM,3.2,3.7,3.9,2020-31-01,96.84,6.27,592,20
@DXU,3.2,3.5,3.7,2020-31-01,96.48,7.28,591,42
@DXZ,3.2,4.5,4.3,2020-31-01,96.15,6.97,589,37
@DYF,-1,-1,-1,2019-13-12,35.28,41.12,588,98
@DYG,-1,-1,-1,2020-10-01,36.5,41.16,589,98
@DYH,-1,-1,-1,2020-31-01,37.03,28.51,592,90
@DYJ,-1,-1,-1,2020-31-01,39,23.26,592,66
@DYK,-1,-1,-1,2020-31-01,39.88,21.92,591,51
@DYM,-1,-1,-1,2020-31-01,40.5,20.85,588,36
@DYN,-1,-1,-1,2020-31-01,40.47,19.99,587,29
@DYQ,-1,-1,-1,2020-31-01,41.78,19.54,588,17
@DYU,-1,-1,-1,2020-31-01,42.9,18.91,588,14
@DYV,-1,-1,-1,2020-31-01,42.75,17.85,588,10
@DYX,-1,-1,-1,2020-31-01,42.75,17.66,588,6
@DYZ,-1,-1,-1,2020-31-01,44,17.28,588,3
@EDF,0.2,0.2,0.4,2020-10-01,98.17,13.28,290,100
@EDG,0.2,0.2,0.4,2020-31-01,98.32,0.61,313,76
@EDH,0.3,0.3,0.5,2020-31-01,98.36,0.38,486,43
@EDJ,0.3,0.3,1.6,2020-31-01,98.4,0.73,265,87
@EDK,0.3,0.3,1.5,2020-31-01,98.44,0.66,272,94
@EDM,0.3,0.4,0.6,2020-31-01,98.5,0.57,505,81
@EDN,2.4,1.6,1.1,2020-31-01,98.54,0.74,297,83
@EDU,0.4,0.5,1.4,2020-31-01,98.62,0.58,491,89
@EDZ,0.5,1.1,0.8,2020-31-01,98.66,0.59,495,82
@ESH,13,10,10,2020-31-01,3224,14.27,592,75
@ESM,13,10,10,2020-31-01,3223.5,12.32,592,44
@ESU,13,10,11,2020-31-01,3224,13.37,588,61
@ESZ,13,10,10,2020-31-01,3228,13.64,588,72
@FCF,13,14,14,2020-23-01,142.1,10.56,588,6
@FCH,18,15,15,2020-31-01,136.07,14.46,592,46
@FCJ,17,14,14,2020-31-01,137.52,15.76,587,55
@FCK,15,13,13,2020-31-01,139.7,15.43,588,57
@FCQ,13,12,12,2020-31-01,146.88,14.73,588,48
@FCU,13,11,12,2020-31-01,148.6,14.77,573,46
@FCV,13,12,13,2020-31-01,149.6,13.91,585,31
@FCX,13,13,13,2020-31-01,149.98,13.21,591,29
@FVF,-1,-1,-1,2019-20-12,118.44,43.76,510,85
@FVG,-1,-1,-1,2020-17-01,119.22,28.83,527,70
@FVH,4.5,4.6,4.7,2020-31-01,120.31,118.99,564,99
@FVJ,-1,-1,-1,2020-31-01,120.72,43.6,510,82
@FVK,-1,-1,-1,2020-31-01,120.72,103.21,521,98
@FVM,6,5,5,2020-31-01,120.72,73.74,565,91
@FVU,6,4.5,5,2019-16-08,119.06,123.4,553,99
@GCF,10,9,24,2019-19-12,1500.6,10.04,591,1
@GCG,10,9,11,2020-21-01,1577.4,11.09,588,26
@GCH,10,35,27,2020-31-01,1584.9,14.01,593,82
@GCJ,10,9,11,2020-31-01,1587.9,12.79,593,61
@GCM,10,9,11,2020-31-01,1593.8,13.13,592,63
@GCQ,10,9,11,2020-31-01,1599.4,13.18,588,72
@GCV,10,8,12,2020-31-01,1604.5,12.92,588,73
@GCZ,10,10,12,2020-31-01,1609.4,14.35,590,84
@HGF,17,16,16,2019-19-12,282.5,16.61,591,1
@HGG,17,17,16,2020-21-01,259.65,12.37,588,0
@HGH,17,17,16,2020-31-01,251.7,22.41,593,93
@HGJ,17,16,16,2020-31-01,252,20.66,593,55
@HGK,17,16,15,2020-31-01,252.3,19.54,593,63
@HGM,17,16,15,2020-31-01,252.65,19.69,592,41
@HGN,17,16,15,2020-31-01,253,19.49,588,54
@HGQ,17,16,15,2020-31-01,253.4,18.93,588,20
@HGU,17,16,15,2020-31-01,253.7,18.32,588,29
@HGV,17,16,15,2020-31-01,254.05,19.76,588,28
@HGX,17,16,15,2020-31-01,254.5,18.72,588,21
@HGZ,17,16,16,2020-31-01,254.65,17.71,590,21
@HOF,0,16,24,2019-19-12,204,19.01,591,0
@HOG,26,25,28,2020-21-01,167.95,23.82,588,41
@HOH,25,25,27,2020-31-01,162.84,34.19,593,96
@HOJ,25,24,27,2020-31-01,163.1,34.13,592,97
@HOK,23,23,25,2020-31-01,163.58,32.29,593,96
@HOM,24,23,25,2020-31-01,164.19,30.27,593,94
@HON,23,22,24,2020-31-01,164.89,30.32,588,92
@HOQ,22,22,23,2020-31-01,165.62,27.26,588,78
@HOU,21,21,18,2020-31-01,166.44,27.45,588,85
@HOV,21,21,25,2020-31-01,167.22,26.48,588,77
@HOX,20,18,24,2020-31-01,167.87,26.41,588,77
@HOZ,19,21,26,2020-31-01,168.36,26.03,590,74
@JOF,23,23,22,2019-13-12,99.75,27.34,588,61
@JOG,-1,-1,-1,2020-10-01,95.65,28.42,589,73
@JOH,16,18,18,2020-31-01,95.95,24.21,592,32
@JOJ,-1,-1,-1,2020-31-01,99.5,24.43,580,16
@JOK,15,17,17,2020-31-01,99.5,24.16,592,38
@JOM,-1,-1,-1,2020-31-01,103.05,24.35,580,24
@JON,14,16,16,2020-31-01,103.05,22.83,588,28
@JOU,14,16,20,2020-31-01,106.6,23.15,588,32
@JOX,14,489,346,2020-31-01,110.1,22.74,588,26
@KCF,-1,-1,-1,2019-06-12,137.25,32.45,564,62
@KCG,-1,-1,-1,2020-03-01,117.35,43.25,564,96
@KCH,25,42,35,2020-31-01,102.65,33.27,593,95
@KCJ,-1,-1,-1,2020-31-01,104.9,33.5,564,69
@KCK,25,41,34,2020-31-01,104.9,31.55,592,92
@KCN,22,40,33,2020-31-01,107.15,32.09,588,94
@KCU,24,39,39,2020-31-01,109.25,27.65,588,56
@KCZ,23,36,32,2020-31-01,112.05,27.8,588,40
@LBF,10,18,23,2019-24-12,404.2,25.54,585,48
@LBG,-1,-1,-1,2020-24-01,436.1,23.18,418,10
@LBH,18,21,22,2020-31-01,435.5,31.81,584,79
@LBK,15,17,20,2020-31-01,437.7,25.69,584,50
@LBN,13,14,18,2020-31-01,434.2,20.82,583,18
@LBU,13,14,18,2020-31-01,388.6,42.55,545,96
@LBX,13,15,23,2019-24-10,395,28.32,579,55
@LCF,-1,-1,-1,2019-27-12,125.78,9.81,345,14
@LCG,13,11,11,2020-31-01,121.38,15.06,592,61
@LCH,-1,-1,-1,2020-31-01,119.68,16.7,321,54
@LCJ,14,12,10,2020-31-01,119.68,16.61,591,76
@LCK,-1,-1,-1,2019-26-04,111.57,14.98,199,24
@LCM,13,11,10,2020-31-01,111.57,15.03,593,57
@LCQ,12,10,10,2020-31-01,109.78,13.86,587,35
@LCV,12,10,14,2020-31-01,112.82,12.86,588,22
@LCX,-1,-1,-1,2020-10-01,117.03,16.77,169,30
@LCZ,10,12,13,2020-31-01,117.03,12.13,588,12
@LHG,38,31,32,2020-31-01,57.13,34.85,592,67
@LHJ,37,29,28,2020-31-01,61.6,40.15,592,93
@LHK,-1,-1,-1,2020-31-01,70.03,36.53,561,91
@LHM,25,22,20,2020-31-01,76.85,35.25,592,87
@LHN,23,20,18,2020-31-01,78.13,33.93,592,85
@LHQ,21,19,17,2020-31-01,77.85,32.51,588,84
@LHV,23,20,42,2020-31-01,66.72,32.56,588,68
@LHZ,21,486,345,2020-31-01,61.5,30.89,587,55
@MIG,-1,-1,-1,2020-10-01,246.6,24.62,140,100
@NEH,-1,-1,-1,2020-31-01,64.68,8.5,459,30
@NEM,-1,-1,-1,2020-31-01,64.75,8.15,516,12
@NEU,-1,-1,-1,2020-31-01,64.8,7.84,463,9
@NEZ,-1,-1,-1,2020-31-01,64.83,7.89,469,8
@NFF,-1,-1,-1,2019-13-12,123.2,28.68,588,97
@NFG,-1,-1,-1,2020-10-01,127.32,21.78,589,91
@NFH,-1,-1,-1,2020-31-01,124.07,15.48,592,34
@NFJ,-1,-1,-1,2020-31-01,124.47,14.65,592,30
@NFK,-1,-1,-1,2020-31-01,125.5,14.45,592,27
@NFM,-1,-1,-1,2020-31-01,127.07,13.74,588,21
@NFN,-1,-1,-1,2020-31-01,127.93,13.16,588,14
@NFQ,-1,-1,-1,2020-31-01,129.27,12.79,588,10
@NFU,-1,-1,-1,2020-31-01,129.95,12.45,587,6
@NFV,-1,-1,-1,2020-31-01,131.38,12.38,588,3
@NFX,-1,-1,-1,2020-31-01,131.88,12.27,588,1
@NFZ,-1,-1,-1,2020-31-01,131.07,12.01,588,1
@NGF,0,41,35,2019-19-12,2.17,50.2,582,89
@NGG,32,40,35,2020-10-01,1.9,46.35,578,79
@NGH,28,35,30,2020-10-01,1.84,42.04,553,58
@NGJ,24,26,21,2020-10-01,1.89,31.91,310,86
@NGK,22,24,19,2020-10-01,1.95,27.24,269,72
@NGM,20,22,18,2020-10-01,2.02,25.87,288,68
@NGN,18,20,17,2020-10-01,2.09,23.73,373,47
@NGQ,16,19,16,2020-15-01,2.12,24.06,381,53
@NGU,16,19,16,2020-31-01,2.11,26.25,366,83
@NGV,15,18,19,2020-31-01,2.14,26.25,413,78
@NGX,12,25,29,2020-31-01,2.25,26.25,433,71
@NGZ,10,23,27,2020-31-01,2.44,26.98,538,67
@NQH,17,13,13,2020-31-01,8997.75,27.05,537,90
@NQM,17,13,13,2020-31-01,9014.5,21.68,521,72
@NQU,17,13,12,2020-31-01,9039.5,18.29,534,27
@NQZ,17,14,13,2020-30-01,906300,17.44,538,22
@NRF,-1,-1,-1,2019-14-10,0.69,2.97,3,33
@OF,-1,-1,-1,2019-20-12,283,29.75,275,56
@OG,-1,-1,-1,2020-17-01,316.5,30.77,341,57
@OH,27,26,24,2020-31-01,303.8,33.29,591,93
@OJ,-1,-1,-1,2020-31-01,298.2,23.82,335,5
@OK,24,24,22,2020-31-01,298.2,25.55,516,48
@ON,25,23,22,2020-31-01,288.5,23.03,584,16
@OU,29,24,23,2019-16-08,265.2,42.13,580,98
@OZ,18,44,35,2020-31-01,270.5,17.96,590,0
@PAF,-1,-1,-1,2019-13-12,1900.8,35.27,253,90
@PAG,-1,-1,-1,2020-10-01,2182.7,29.61,218,66
@PAH,32,27,25,2020-31-01,2224.7,42.24,592,98
@PAJ,-1,-1,-1,2020-31-01,2223.1,39.28,212,96
@PAM,32,27,25,2020-31-01,2221,35.46,589,98
@PAU,32,27,26,2020-31-01,2207.4,35.26,590,98
@PAZ,33,28,25,2020-31-01,2191,33.34,590,96
@PLF,27,23,22,2019-06-12,944.8,29.08,588,99
@PLG,-1,-1,-1,2020-03-01,967.9,50.76,380,100
@PLH,-1,-1,-1,2020-31-01,960.5,37.82,461,98
@PLJ,27,23,22,2020-31-01,961.9,24.19,592,96
@PLN,27,23,22,2020-31-01,966.9,21.1,588,90
@PLV,27,23,23,2020-31-01,972.5,18.85,589,73
@RBF,0,21,29,2019-19-12,172.7,22.28,383,1
@RBG,29,28,31,2020-21-01,148.4,27.6,353,36
@RBH,29,27,30,2020-31-01,150.41,38,370,38
@RBJ,25,83,61,2020-31-01,166.55,34.14,326,61
@RBK,24,23,25,2020-31-01,166.89,32.7,526,48
@RBM,24,23,25,2020-31-01,166.1,30.91,409,63
@RBN,23,22,24,2019-18-06,14.58,172.96,440,89
@RBQ,23,22,23,2019-19-07,14.55,182.56,364,98
@RBU,23,22,23,2020-31-01,158.86,30.23,362,71
@RBV,24,23,33,2019-18-09,145.08,185.65,401,99
@RBX,23,26,34,2019-21-10,141.71,154.27,438,95
@RBZ,23,22,30,2019-18-11,139.49,31.19,307,54
@RRF,8,10,12,2019-06-12,1279.5,2.41,564,12
@RRH,13,10,12,2020-31-01,1361,3.29,565,22
@RRK,12,9,11,2020-31-01,1377,4.26,546,43
@RRN,10,8,11,2020-31-01,1356.5,4.81,576,48
@RRU,9,6,9,2020-31-01,121.7,7.5,570,54
@RRX,9,10,11,2020-31-01,121.2,7.63,555,65
@SBG,-1,-1,-1,2020-08-01,1432,21.36,564,31
@SBH,21,18,17,2020-31-01,1461,30.62,592,100
@SBJ,-1,-1,-1,2020-31-01,1435,27.81,561,66
@SBK,22,16,16,2020-31-01,1435,26.53,592,96
@SBN,17,15,14,2020-31-01,1423,23.55,588,55
@SBV,17,13,19,2020-31-01,1430,20.94,588,20
@SF,6,9,12,2019-20-12,937.8,10.69,588,0
@SG,-1,-1,-1,2020-17-01,909.5,12.59,567,5
@SH,11,11,12,2020-31-01,872.5,15.42,593,41
@SIF,19,17,21,2019-19-12,1776.9,20.75,585,25
@SIG,21,24,20,2020-21-01,1801.4,21.23,580,43
@SIH,22,18,21,2020-31-01,1801.2,20.84,593,70
@SIJ,-1,-1,-1,2020-31-01,1805.2,20.91,582,44
@SIK,22,18,21,2020-31-01,1809.1,20.14,593,60
@SIN,21,18,21,2020-31-01,1816.5,21.42,588,75
@SIU,21,18,20,2020-31-01,1823.6,20.61,588,72
@SIZ,21,19,22,2020-31-01,1832.9,22.04,590,81
@SJ,-1,-1,-1,2020-31-01,886.8,13.4,558,10
@SK,11,11,11,2020-31-01,886.8,14.16,592,21
@SMF,7,11,14,2019-20-12,299.5,14.28,585,3
@SMG,-1,-1,-1,2020-17-01,298.9,13.33,502,0
@SMH,9,11,13,2020-31-01,291,14.97,593,10
@SMJ,-1,-1,-1,2020-31-01,296.3,13.7,523,4
@SMK,8,10,12,2020-31-01,296.3,14.75,592,13
@SMN,8,9,11,2020-31-01,301.4,14.77,586,13
@SMQ,7,9,11,2020-31-01,303.3,14.86,586,3
@SMU,11,10,17,2020-31-01,304.6,14.81,588,6
@SMV,7,8,13,2020-31-01,305.7,15.07,588,9
@SMZ,7,17,16,2020-31-01,297.2,22.43,590,71
@SN,10,10,11,2020-31-01,900.5,15.02,588,28
@SPH,13,10,10,2020-31-01,3224,18.39,592,92
@SPM,13,10,10,2020-31-01,3223.5,16.16,592,74
@SPU,13,10,11,2020-31-01,3223.9,16.19,589,75
@SPZ,12,10,10,2020-31-01,3228,16.72,589,79
@SQ,10,10,11,2020-31-01,905.5,14.91,588,13
@SU,9,211,150,2020-31-01,906.5,16.66,587,45
@SX,8,10,12,2020-31-01,912.2,15.75,588,13
@TNH,-1,-1,-1,2019-30-12,0,32.02,13,76
@TNM,-1,-1,-1,2020-30-01,0,36.94,6,100
@TUH,4.1,2.6,3.4,2020-31-01,108.19,42.61,435,83
@TUM,2.3,1.5,2.9,2020-31-01,108.38,38.31,480,77
@TUU,2.3,1.5,1.1,2019-16-08,107.66,47.14,359,79
@TYF,-1,-1,-1,2019-20-12,128.38,13.53,565,68
@TYG,-1,-1,-1,2020-17-01,129.78,34.48,565,96
@TYH,7,6,7,2020-31-01,131.66,41.72,586,99
@TYJ,-1,-1,-1,2020-31-01,131.53,34.1,565,96
@TYK,-1,-1,-1,2020-31-01,131.53,23.76,556,85
@TYM,7,7,7,2020-31-01,131.53,28.32,579,90
@TYU,7,7,7,2019-16-08,130.3,44.22,559,98
@UBH,-1,-1,-1,2020-31-01,193.69,34.36,512,81
@UBM,-1,-1,-1,2020-31-01,194.5,37.28,394,86
@USF,-1,-1,-1,2019-20-12,156.47,29.54,567,82
@USG,-1,-1,-1,2020-17-01,159.56,30.2,568,78
@USH,8,9,10,2020-31-01,163.53,47.31,585,96
@USJ,-1,-1,-1,2020-31-01,162.59,53.05,562,98
@USK,-1,-1,-1,2020-31-01,162.59,23.59,565,73
@USM,8,8,9,2020-31-01,162.59,49.67,573,96
@USU,8,11,10,2019-16-08,164.09,64.5,572,98
@VXF,37,40,34,20--,12.62,0,0,0
@VXG,72,52,40,20--,18.22,0,0,0
@VXH,44,34,28,20--,17.72,0,0,0
@VXJ,36,29,24,20--,17.82,0,0,0
@VXK,30,25,22,20--,17.57,0,0,0
@VXM,28,24,46,20--,17.85,0,0,0
@VXN,25,21,69,20--,17.97,0,0,0
@VXQ,24,46,77,20--,17.97,0,0,0
@VXU,19,66,68,20--,18.12,0,0,0
@VXV,13,89,81,20--,20.17,0,0,0
@VXX,13,90,71,20--,18.2,0,0,0
@WF,-1,-1,-1,2019-20-12,549,21.8,561,39
@WG,-1,-1,-1,2020-17-01,580.5,18.96,564,8
@WH,16,19,18,2020-31-01,553.8,22.21,594,70
@WJ,-1,-1,-1,2020-31-01,552.5,22.69,556,22
@WK,15,18,17,2020-31-01,552.5,22.91,592,77
@WN,14,16,16,2020-31-01,552.5,22.69,587,60
@WU,13,14,19,2020-31-01,559,22.33,587,45
@WZ,12,23,21,2020-31-01,568,20.05,590,20
@YGF,-1,-1,-1,2019-13-12,1480.2,36.43,149,95
@YGG,10,9,11,2020-10-01,1550.5,19.45,353,54
@YGH,-1,-1,-1,2020-31-01,1584.9,22.41,153,56
@YGJ,10,9,11,2020-31-01,1587.9,12.84,277,8
@YGM,10,9,11,2020-31-01,1593.8,12.71,588,51
@YGQ,10,9,11,2019-12-07,1428.1,16.53,288,39
@YGV,10,8,12,2019-13-09,1499.5,15.88,269,41
@YGZ,10,10,12,2020-31-01,1609.4,12.18,588,3
@YIF,-1,-1,-1,2019-13-12,17.07,32.5,328,93
@YIG,-1,-1,-1,2020-10-01,17.9,35,150,96
@YIH,-1,-1,-1,2020-31-01,18.01,22.5,318,52
@YIJ,-1,-1,-1,2020-31-01,18.05,22.9,137,29
@YIK,-1,-1,-1,2020-31-01,18.09,21.88,258,34
@YIN,-1,-1,-1,2020-31-01,18.17,21.17,582,49
@YIZ,-1,-1,-1,2020-31-01,18.33,20.65,584,1
@YMM,12,10,156,2020-31-01,28190.5,17.33,131,93
@YMZ,12,10,10,2019-25-04,0,15.64,147,86
@ZGF,-1,-1,-1,2019-13-12,1480.2,36.87,266,75
@ZGG,-1,-1,-1,2020-10-01,1550.5,19.45,381,54
@ZGH,10,36,27,2020-31-01,1584.9,22.41,399,33
@ZGJ,-1,-1,-1,2020-31-01,1587.9,12.84,272,8
@ZGM,10,9,11,2020-31-01,1593.8,12.71,549,51
@ZGZ,10,11,12,2020-31-01,1609.4,12.18,556,4
@ZIF,-1,-1,-1,2019-13-12,17.07,32.5,329,94
@ZIG,-1,-1,-1,2020-10-01,17.9,35,151,96
@ZIH,-1,-1,-1,2020-31-01,18.01,22.5,310,55
@ZIJ,-1,-1,-1,2020-31-01,18.05,22.9,141,29
@ZIK,-1,-1,-1,2020-31-01,18.09,21.88,257,33
@ZIN,-1,-1,-1,2020-31-01,18.17,21.17,582,49
@ZIZ,-1,-1,-1,2020-31-01,18.33,20.65,584,1
$BKX,17,15,17,2020-13-01,104.75,17.54,23,4
$DJX,12,10,10,2020-31-01,282.56,15.22,600,70
$HGX,14,12,12,2020-31-01,365.96,17.42,417,28
$NDX,14,12,12,2020-31-01,8991.51,16.47,536,67
$OEX,12,10,10,2020-31-01,1446.71,15.16,566,64
$OSX,30,32,37,2020-21-01,62.66,40.07,37,75
$SPX,12,9,10,2020-31-01,3225.52,14.84,600,77
$UTY,7,9,10,2020-31-01,882.95,11.79,70,20
$VIX,134,118,109,2020-31-01,18.84,113.6,599,90
$XAU,27,25,26,2020-31-01,103.94,29.08,444,23
$XDS,4.6,4.7,4.8,2020-31-01,103.82,8.3,594,2
$XEO,12,10,10,2020-31-01,1446.71,17.94,545,81
$XSP,12,9,10,2020-31-01,322.55,18.69,595,91
A,21,17,19,2020-31-01,82.56,28.44,600,86
AA,52,42,43,2020-31-01,13.95,45.56,600,76
AAL,47,37,36,2020-31-01,26.84,41.63,600,88
AAN,28,24,37,2020-31-01,59.36,51.45,600,97
AAOI,75,55,60,2020-31-01,11.3,80.9,600,82
AAON,18,21,25,2020-31-01,52.44,34.84,592,79
AAP,29,25,28,2020-31-01,131.75,37.05,600,70
AAPL,28,22,21,2020-31-01,309.51,29.64,600,84
AAT,18,17,16,2020-31-01,45.56,15.63,559,32
AAWW,33,40,51,2020-31-01,22.35,68.15,600,99
AAXJ,22,18,15,2020-31-01,68.87,20.24,599,78
AAXN,45,36,49,2020-31-01,76.81,46.11,600,66
AB,17,19,19,2020-30-01,32.75,81,466,100
ABB,14,14,18,2020-31-01,23.17,14.53,588,9
ABBV,16,16,20,2020-31-01,81.02,28.05,600,79
ABC,28,24,25,2020-31-01,85.56,26.26,600,24
ABCB,22,17,19,2020-31-01,40.19,28.85,596,59
ABDC,25,17,15,2019-07-08,8.9,33.31,148,49
ABEO,100,168,141,2020-31-01,2.17,119.43,598,84
ABEV,32,32,34,2019-31-12,4.16,28.83,219,42
ABG,25,30,31,2020-31-01,96.45,43.57,598,100
ABM,17,20,21,2020-31-01,38.14,32.94,598,70
ABMD,59,47,59,2020-31-01,186.29,57.04,600,95
ABR,19,19,20,2019-09-12,14.77,17.08,28,57
ABT,18,14,17,2020-31-01,87.14,19.63,600,62
ABTX,17,0,0,2020-31-01,37.2,27.39,30,76
ABUS,76,100,129,2020-31-01,2.61,119.75,481,91
ACA,18,24,29,2020-31-01,43.75,36.32,293,48
ACAD,57,57,52,2020-31-01,39.94,59.73,600,40
ACB,112,109,99,2020-31-01,1.89,88.42,315,70
ACC,15,16,15,2020-31-01,45.87,17.81,590,76
ACCO,25,23,29,2020-31-01,8.64,36.21,569,53
ACGL,14,15,16,2020-31-01,44.16,20.82,600,46
ACH,33,33,33,2020-31-01,7.35,35.09,590,9
ACHC,19,18,26,2020-31-01,32.13,41.05,595,50
ACHN,41,30,93,2020-24-01,6.76,26.67,589,0
ACIA,4,5,7,2020-31-01,68.55,12.55,590,5
ACIW,25,27,29,2020-31-01,34.45,33.42,598,64
ACLS,35,32,39,2020-31-01,24.15,45.31,600,53
ACM,30,22,22,2020-31-01,48.23,39.09,600,99
ACN,15,13,16,2020-31-01,205.21,19.38,600,52
ACOR,108,143,143,2020-31-01,2.03,128.13,600,93
ACRS,81,78,132,2020-17-01,1.24,149.48,289,90
ACRX,60,81,75,2020-21-01,1.7,97.43,559,49
ACTG,64,48,51,2020-31-01,2.5,56.09,434,20
ACWI,12,10,10,2020-31-01,78.11,15.77,598,80
ACWV,7,6,6,2020-31-01,97.02,11.19,599,77
ACWX,13,11,10,2020-31-01,47.44,12.96,340,56
ADAP,388,262,205,2020-31-01,3.9,126.66,443,86
ADBE,16,16,20,2020-31-01,351.14,24.65,600,32
ADC,16,19,16,2020-29-01,75.93,37.35,352,99
ADI,27,24,25,2020-31-01,109.75,30.48,600,89
ADM,25,19,20,2020-31-01,44.76,18.37,600,32
ADMA,74,61,59,2020-31-01,3.96,86.46,292,41
ADMP,140,212,192,2019-20-05,0.66,113.09,416,71
ADMS,96,153,130,2020-31-01,5.14,102.78,596,89
